"genbank_accession"	"tax"
"EF659889"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Suessiaceae_X; Suessiaceae_X_sp."
"FN690148"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Woloszynskia; Woloszynskia_sp."
"EF432528"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Polarella; Polarella_glacialis"
"AB085914"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Durusdinium; Durusdinium_sp."
"EU087283"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Suessiaceae_X; Suessiaceae_X_sp."
"AY051096"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Durusdinium; Durusdinium_sp."
"HM042367"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Symbiodiniaceae_X; Symbiodiniaceae_X_sp."
"FN690122"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_sp."
"FN690102"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_sp."
"FN690136"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_sp."
"AJ271763"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Cladocopium; Cladocopium_sp."
"EF492491"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Protodinium; Protodinium_simplex"
"FN690083"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_sp."
"FN690163"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Suessiaceae_X; Suessiaceae_X_sp."
"AB016596"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Symbiodinium; Symbiodinium_sp."
